name,category,address,lat,lon
El Poblenou,otro,C Pallars 221,41.402,2.199
Sant Andreu,otro,Pl Comerç 3,41.435,2.19
El nucli antic d'Horta,otro,C Fulton 15,41.43,2.162
La plaça de Lesseps,otro,Pl Lesseps 18,41.408,2.151
El Campus Ciutadella,otro,C Ramon Trias Fargas 25,41.39,2.191
Parc de la Pegaso,Parc,C Sagrera 179,41.427,2.191
Cases Josefa Villanueva,otro,C Roger de Llúria 80,41.395,2.167
Cristalleries Planell,otro,C Doctor Ibáñez 38,41.387,2.132
Casa Queralt,otro,C Pineda 12,41.419,2.148
Espai Mescladís,otro,C Carders 35,41.387,2.18
Font Pública,otro,Trav Gràcia 126,41.4,2.156
Centre Comercial Maremàgnum,Centre,Moll Espanya 5,41.376,2.183
Centre Cívic Can Deu,Centre,Plaça de la Concòrdia 13,41.387,2.133
Parc de l'Espanya Industrial,Parc,Carrer de Muntadas 1,41.377,2.14
Seu del Districte de Sant Andreu,otro,Plaça d'Orfila 1,41.436,2.191
Santa Església Catedral Basílica de Barcelona,otro,Pla Seu 3,41.384,2.176
La plaça de John Lennon,otro,Pl John Lennon nan,41.403,2.162
La plaça de Nicolás Salmerón,otro,Pla Nicolás Salmerón nan,41.398,2.157
La Pedrera Romana,destacat,C Ferrocarrils Catalans 4,41.357,2.146
Torre de l'Aigua,otro,C Santa Àgata 6,41.404,2.152
La Rambla del Raval,destacat,Rbla Raval 12,41.379,2.169
Xemeneia de Can Galta Cremat,otro,C Arquímedes 30,41.441,2.188
Les Carasses,otro,Pg Torras i Bages 108,41.441,2.191
Xemeneia de l'antiga Fábrica La Porcelana,otro,Pl Joan Corrades 1,41.373,2.145
La plaça del Raspall,otro,Pl Raspall nan,41.401,2.161
La Plaça del Setge de 1714,otro,Pl Setge de 1714 nan,41.374,2.161
Casa Sant Felip Neri,otro,C Nena Casas 37,41.396,2.131
El barri Plus Ultra,otro,C Aviador Ruiz de Alda 28,41.361,2.141
Antiga Biblioteca Pública de Sant Andreu de Palomar,otro,C Santa Marta 12,41.437,2.191
L'Aqüeducte Palombarum,otro,C Fernando Pessoa 1,41.438,2.193
Antic Monòlit Dedicat a la Legión Condor,otro,Pl Reina Maria Cristina 1,41.389,2.127
Cansaladeria Puig,otro,C Gran de Sant Andreu 147,41.432,2.189
L'antic Putxet. Els carrers Manacor Cadis i Putxet,otro,C Putxet 1,41.404,2.142
Passatge de Sant Felip,otro,Ptge Sant Felip 1,41.403,2.147
La plaça Molina,otro,Pl Molina 1,41.401,2.147
Parc Esportiu de Can Dragó,Parc,C Rosselló i Porcel 7,41.437,2.183
Torre de Sant Jordi,otro,C Sant Eudald 11,41.414,2.146
Villa Conchita o Casa dels Metges,otro,Pg Mare de Déu del Coll 81,41.419,2.148
Carrer Sant Gervasi de Cassoles,otro,C Sant Gervasi de Cassoles 1,41.404,2.14
Teatre Nacional de Catalunya,otro,Plaça de les Arts 1,41.4,2.186
Jardins de Joan Brossa,Jardins,Plaça de Dante 9999,41.369,2.165
Castell de Montjuïc,destacat,Carretera de Montjuïc 66,41.364,2.167
Jardins Laribal,Jardins,Pg Santa Madrona 2,41.368,2.158
Casernes d'Artilleria  de Sant Andreu,otro,Pg Torras i Bages 141,41.444,2.191
L'Estació dels FGC de Sarrià,otro,C Cardenal Sentmenat 43,41.398,2.125
Mercat Sarrià,Mercat,Pg Reina Elisenda Montcada 8,41.4,2.121
Mercat Abaceria Central,Mercat,Pg Sant Joan 181,41.403,2.164
Cementiri Sant Gervasi,Cementiri,Camí del Cementiri de Sant Gervasi 4,41.411,2.127
Cementiri d'Horta,Cementiri,Plaça del Cementiri d'Horta 9,41.44,2.156
Escultura Fray Pedro Ponce de León,otro,Pg Sant Joan 210,41.404,2.163
Casa Martí  Els Quatre Gats,otro,Montsió 3,41.386,2.174
Jardins,Jardins,G.V. Corts Catalanes 585,41.387,2.164
Jardins Plaça de Can Fabra,Jardins,Carrer del Segre 24,41.435,2.192
L'avinguda del Tibidabo,destacat,Av Tibidabo 4,41.411,2.137
El Passeig de Gràcia,otro,Passeig de Gràcia 80,41.394,2.163
Torre de Santa Caterina,otro,C Panamà 21,41.395,2.106
La Previsió Obrera,otro,C Doctor Balari i Jovany 13,41.435,2.191
Refugi Antiaeri de la Sagrera,otro,C Berenguer de Palou 64,41.424,2.192
Carrer Campo Florido,otro,C Campo Florido 9,41.421,2.182
Carrer Coroleu,otro,C Coroleu 42,41.433,2.187
Pastisseria Escribà *La Rambla,otro,C la Rambla 83,41.382,2.173
Hotel Peninsular  HB003154,otro,C Sant Pau 34,41.38,2.173
Mercat Clot,Mercat,Pl Mercat 26,41.408,2.189
Mercat Poblenou  Unió,Mercat,Pl Unió 25,41.401,2.205
Club Natació Barcelona,Club,Pg Joan Borbó C Barcelona 93,41.371,2.188
Torre Castanyer,otro,Pg Sant Gervasi 5,41.408,2.134
El passatge de Xile,otro,Ptge Xile 1,41.377,2.116
Els Jardins d'Eusebi Güell,Jardins,Pl Eusebi Güell nan,41.39,2.114
Centre Educatiu Impulsem,Centre,C Tàpies 6,41.377,2.171
Ateneu Barcelonès,otro,Carrer de la Canuda 6,41.385,2.172
Jardins del Turó del Putxet,Jardins,C Manacor 9,41.408,2.143
Parc de Monterols,Parc,Carrer de Muntaner 450,41.402,2.14
Parròquia de Santa Madrona,Parròquia,C Tapioles 10,41.374,2.165
Masia Ca l'Armera,otro,C Cardenal Tedeschini 32,41.426,2.183
Centre Cívic Vil·la Florida,Centre,Carrer de Muntaner 544,41.405,2.135
Fundació Suñol,otro,Carrer de Mejía Lequerica 14,41.383,2.126
Cementiri Sant Andreu,Cementiri,Carrer dels Garrofers 35,41.437,2.179
Gerència Urbanística Port Vell de l'Autoritat Portuària de Barcelona,otro,C Josep Anselm Clavé 27,41.378,2.178
Casa Castellet,otro,C Torrijos 26,41.403,2.159
Farmàcia Clapés Viñas,otro,C Gran de Sant Andreu 211,41.434,2.189
